EventId,EventTemplate,Occurrences
55616db2,* * * * *,242
095f4872,session opened for user root by (uid=0),19
a6378fd7,(root) CMD (run-parts /etc/cron.hourly),14
e5f59a12,data_thread() got not answer from any * datasource,819
7444ced6,"synchronized to <*>, stratum 3",396
9db750e6,[ib_sm_sweep.c:1482]: No configuration change required,41
880f1546,Local disconnected: Connection closed.,3
f2f7a33e,connection lost: 'Connection closed.',3
f6df922d,not allocating divert_blk for non-ethernet device lo,1
708630cc,Wait for ready failed before probe !,6
279d4fa2,Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda,1
c9d8cba9,probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func 0,1
1cfe3a76,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,41
eb0cfa2a,[ib_sm_sweep.c:1455]: No topology change,41
4d20657c,Received SNMP packet(s) from #34#,1
42da4ded,(root) CMD (/projects/tbird/temps/get_temps *,5
ba633e17,unable to qualify my own domain name * -- using short name,10
8bae2428,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",1
f2900657,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",1
2d666ecb,"* from=root, * class=0, nrcpts=1, * relay=#7#@localhost",2
b1a02524,kernel time sync * *,2
d89e5477,time reset +0.182379 s,1
bfd50162,"synchronized to LOCAL(0), stratum 10",1
a47c862e,"synchronized to #3#, stratum 1",1
3956ae6c,CentOS-4 (Kernel Module GPG key),1
eeb4dd2f,LAPIC_NMI * high edge lint[0x1]),4
5925103d,Using IOAPIC for interrupt routing,1
a18fe907,Using ACPI for IRQ routing,1
b35e89c2,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,5
e80ba886,START: tftp pid=16563 from=<*>,1
37026deb,HPET id: 0xffffffff base: 0xfed00000,1
beddc861,* used by override.,3
657e921e,IOAPIC (id[0x08] address[0xfec00000] gsi_base[0]),1
7c08ee8a,IOAPIC (id[0x09] address[0xfec80000] gsi_base[32]),1
b82099c6,IOAPIC (id[0x0a] address[0xfec83000] gsi_base[64]),1
7f533fb9,Initializing.,1
3f76fb79,not allocating divert_blk for non-ethernet device sit0,1
c6dba44f,Reading included configuration file: /etc/xinetd.d/chargen [file=/etc/xinetd.conf] [line=15],1
78dac479,Reading included configuration file: * * *,14
08f76de8,Reading included configuration file: /etc/xinetd.d/cups-lpd [file=/etc/xinetd.d/cups-lpd] [line=17],1
2752726e,probe of vesafb0 failed with error -6,1
7a555835,Probing PCI hardware (bus 00),1
beef2512,Direct-Access ANSI SCSI revision: 02,1
5b4fee34,Processor ANSI SCSI revision: 02,1
61ddf178,(supports S0 S4 S5),1
a9781187,Local APIC address 0xfee00000,1
424c0191,Processor * (supports C1),4
b6d701a5,colour VGA+ 80x25,1
e0625398,DHCPOFFER on <*> to 00:11:43:e3:ba:c3 via eth1,1
5d9da534,RRD_update * * illegal attempt to update using time * when last update time is * (minimum one second step),10
cb9d44d1,"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",1
2f758fc3,PCI Hot Plug PCI Core version: 0.5,1
2d666ecb,"* from=root, * class=0, nrcpts=1, * relay=#7#@localhost",2
94c46d22,"* to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, * relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",2
