EventId,EventTemplate,Occurrences
4.92E+09,SQM: Initializing online with Windows opt-in: False,2
2.55E+62,"Read out cached package applicability for package: Package_for_KB2552343~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",4
0249909f,Startup processing thread terminated normally,2
027756ce,00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,1
05f90e58,Starting TrustedInstaller initialization.,1
0c5a20ae,Starting TrustedInstaller finalization.,1
183494de,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0x116fa70",1
1915371f,Ending the TrustedInstaller main loop.,1
2d8b5399,Ending TrustedInstaller initialization.,2
35fa178a,Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],224
3b9d6b38,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x218",1
3beea5db,Session: 11152_142416105 initialized by client SPP.,1
44a00bee,00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End,1
4d9dcd28,"Read out cached package applicability for package: Package_for_KB2574819~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",4
500cb726,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",2
50ff1772,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],2
5a3f1c38,"00000009@2016/9/27:20:40:53.744 CSI Transaction @0x47e9e0 initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/""",1
5d86bd83,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,1
5e02b442,"Read out cached package applicability for package: *{1,1} ApplicableState: 0, CurrentState:0",22
61d03dc7,Reboot mark refs incremented to: 1,1
6342ae85,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
694c9c66,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],2
6b16d202,"*{1,1} WcpInitialize (wcp.dll version 0.0.0.6) called (stack *{1,1}",6
70236f55,TrustedInstaller service starts successfully.,2
7123cd17,"Read out cached package applicability for package: *{1,1} ApplicableState: 112, CurrentState:112",397
7e5b1617,SQM: Requesting upload of all unsent reports.,2
828bcd68,Failed to internally open package. [HRESULT = - CBS_E_INVALID_PACKAGE],18
834a1ae3,"Loading offline registry hive: *{1,1} into registry key *{1,1} from path *{1,1}",8
8599e10a,Scavenge: Starts,1
87aca70d,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",2
88c7a286,SQM: Cleaning up report files older than 10 days.,2
8ac976fd,"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
8c7b6197,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,2
911537be,"Read out cached package applicability for package: *{1,1} ApplicableState: 80, CurrentState:0",26
94a2a8af,"Session: *{1,1} initialized by client WindowsUpdateAgent.",608
9cd4088f,"Read out cached package applicability for package: Package_for_KB3020393~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 64, CurrentState:0",2
a034613f,Warning: Unrecognized packageExtended attribute.,280
a0ab2bd7,"Disabling manifest caching, because the image is not writeable.",1
a9fb3d97,0000000a Performing 1 operations; 1 are not lock/unlock and follow:,1
af528b57,"Read out cached package applicability for package: *{1,1} ApplicableState: 112, CurrentState:0",18
b756d24a,NonStart: Checking to ensure startup processing was not required.,2
c2cdd7b2,"*{1,1} CSI *{2,2}",4
c5141d88,Ending TrustedInstaller finalization.,1
c7e0e082,"NonStart: Success, startup processing not required as expected.",2
cca9c447,"Read out cached package applicability for package: Package_for_KB3004375~31bf3856ad364e35~amd64~~6.1.3.1, ApplicableState: 112, CurrentState:112",4
cd7130e6,Offline image is: read-only,1
d287433e,"Scavenge: Completed, disposition: 0X1",1
d71ade4b,"Read out cached package applicability for package: *{1,1} ApplicableState: 80, CurrentState:112",81
ddb70245,Starting the TrustedInstaller main loop.,2
de01fb44,"*{2,2} NT transaction (seq *{3,4}",4
e101360a,"*{1,2} CSI Store *{0,2}",4
e3ea2500,Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION],2
e9fec322,Reboot mark refs: 0,1
ecc5604d,Idle processing thread terminated normally,1
eeebd5c9,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",1
f01be9cd,"Unloading offline registry hive: *{1,1}",8
fb4e25ac,Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],224
ff3830cf,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",1
