LineId,Date,Time,Level,Component,Content,EventTemplate,EventId
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,Loaded Servicing Stack v #spec# with Core : C : \Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_ #spec# _none_681aa442f6fed7f0\cbscore.dll,e0358e2d
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),* #spec# : 20 : 30 : * WcpInitialize ( wcp.dll version #spec# ) called ( stack @ #spec# @ #spec# @ #spec# @ #spec# @ #spec# @ #spec# ),6c5c35d7
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),* #spec# : 20 : 30 : * WcpInitialize ( wcp.dll version #spec# ) called ( stack @ #spec# @ #spec# @ #spec# @ #spec# @ #spec# @ #spec# ),6c5c35d7
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),* #spec# : 20 : 30 : * WcpInitialize ( wcp.dll version #spec# ) called ( stack @ #spec# @ #spec# @ #spec# @ #spec# @ #spec# @ #spec# ),6c5c35d7
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,* TrustedInstaller *,f456207e
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.,ddb70245
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,70236f55
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,SQM : Initializing online with Windows opt-in : False,1d6a7aa9
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,SQM : Cleaning up report files older than #spec# days.,4e62e16a
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,SQM : Requesting upload of all unsent reports.,28803839
