EventId,EventTemplate,Occurrences
8c7b6197,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,2
b51c4b41,* WcpInitialize (wcp.dll version 0.0.0.6) called (stack *,4
290b9a9d,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @<*>@<*>@<*>@<*>@<*>@0xff83d799),1
38fa1871,Ending TrustedInstaller *,3
ddb70245,Starting the TrustedInstaller main loop.,2
eeebd5c9,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",1
70236f55,TrustedInstaller service starts successfully.,2
492269e4,SQM: Initializing online with Windows opt-in: False,2
88c7a286,SQM: Cleaning up report files older than 10 days.,2
dc5d5c25,"00000009@2016/9/27:20:40:53.744 CSI Transaction @<*>initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/""",1
8599e10a,Scavenge: Starts,1
d287433e,"Scavenge: Completed, disposition: 0X1",1
e9fec322,Reboot mark refs: 0,1
0249909f,Startup processing thread terminated normally,2
ae139d1a,Session: * initialized by client WindowsUpdateAgent.,608
ecc5604d,Idle processing thread terminated normally,1
55bc08e8,00000008 CSI Store 4991456 (<*>initialized,1
ea55b3dd,* CSI Store * (<*>initialized,2
7250c8dc,* CSI perf trace:,2
39b783c8,Warning: Unrecognized packageExtended attribute.,280
565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],224
7e5b1617,SQM: Requesting upload of all unsent reports.,2
d13705e4,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>- E_FAIL],2
99c9fe74,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",2
083f8cc2,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: <*>[HRESULT = <*>- E_FAIL]",2
2a6f127b,SQM: Failed to start standard sample upload. [HRESULT = <*>- E_FAIL],2
500cb726,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",2
56922e70,Starting TrustedInstaller *,2
1915371f,Ending the TrustedInstaller main loop.,1
7cb94fc9,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Users/default/ntuser.dat,1
4b719203,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/system32/smi/store/Machine/schema.dat,1
3beea5db,Session: 11152_142416105 initialized by client SPP.,1
a2e3871a,0000000f@2016/9/27:20:40:54.786 CSI perf trace:,1
2b020f61,00000010@2016/9/27:20:40:54.787 CSI Transaction @<*>destroyed,1
027756ce,00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,1
9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],224
39c8b4cc,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],18
61d03dc7,Reboot mark refs incremented to: 1,1
c7e0e082,"NonStart: Success, startup processing not required as expected.",2
25d623ae,Failed to create backup log cab. [HRESULT = <*>- ERROR_INVALID_FUNCTION],2
5d86bd83,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,1
52230045,00000006 Created NT transaction (seq 1) result <*>handle *,2
2d1164d0,"0000000d Creating NT transaction (seq 2), objectname [6]""(null)""",1
1d25bad0,0000000e Created NT transaction (seq 2) result <*>handle @0xb8,1
b756d24a,NonStart: Checking to ensure startup processing was not required.,2
e75c3b15,"Read out cached package applicability for package: Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-TopLevel~31bf3856ad364e35~amd64~~7.1.7601.16492, ApplicableState: 112, CurrentState:112",2
1af0d286,"Read out cached package applicability for package: * ApplicableState: 112, CurrentState:0",10
7145e4a8,"Read out cached package applicability for package: * ApplicableState: 112, CurrentState:112",402
f5abb89f,"Read out cached package applicability for package: * ApplicableState: 80, CurrentState:112",81
5cea81f0,Read out cached package applicability for package: * ApplicableState: * CurrentState:0,49
6342ae85,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
a9fb3d97,0000000a Performing 1 operations; 1 are not lock/unlock and follow:,1
99e34a54,Loading offline registry hive: * into registry key * from path *,7
44a00bee,00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End,1
1f1dbb91,Scavenge: Begin CSI Store,1
cd7130e6,Offline image is: read-only,1
621e3057,Unloading offline registry hive: *,5
a49b6491,00000001@2016/9/28:16:00:46.160 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @<*>@<*>@<*>@<*>@<*>@0xffeedb2f),1
183494de,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0x116fa70",1
8ac976fd,"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
a0ab2bd7,"Disabling manifest caching, because the image is not writeable.",1
7145e4a8,"Read out cached package applicability for package: * ApplicableState: 112, CurrentState:112",4
6ecdbca5,"Read out cached package applicability for package: Package_for_RollupFix~31bf3856ad364e35~amd64~~7601.23545.1.4, ApplicableState: 112, CurrentState:112",1
b7b885ec,"Read out cached package applicability for package: * ApplicableState: 0, CurrentState:0",5
1af0d286,"Read out cached package applicability for package: * ApplicableState: 112, CurrentState:0",4
56ee9ee9,"Loading offline registry hive: SYSTEM, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\Windows\System32\config\SYSTEM'.",1
3250c8a8,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM,1
