EventId,EventTemplate,Occurrences
E1,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>",3
E10,"<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> CSI Transaction @<*> initialized for deployment engine {<*>} with flags <*> and client id [<*>]""<*>/""",1
E11,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> PopulateComponentFamiliesKey - Begin,1
E12,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> PopulateComponentFamiliesKey - End,1
E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),6
E14,"Disabling manifest caching, because the image is not writeable.",1
E15,Ending the TrustedInstaller main loop.,1
E16,Ending TrustedInstaller finalization.,1
E17,Ending TrustedInstaller initialization.,2
E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
E19,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION],2
E2,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)""",3
E20,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
E21,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18
E22,Idle processing thread terminated normally,1
E23,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll,2
E24,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",8
E25,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
E26,NonStart: Checking to ensure startup processing was not required.,2
E27,"NonStart: Success, startup processing not required as expected.",2
E28,Offline image is: read-only,1
E29,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",558
E3,<*> CSI perf trace:,3
E30,Reboot mark refs incremented to: <*>,1
E31,Reboot mark refs: <*>,1
E32,Scavenge: Begin CSI Store,1
E33,"Scavenge: Completed, disposition: <*>",1
E34,Scavenge: Starts,1
E35,Session: <*>_<*> initialized by client SPP.,1
E36,Session: <*>_<*> initialized by client WindowsUpdateAgent.,608
E37,SQM: Cleaning up report files older than <*> days.,2
E38,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
E39,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]",2
E4,<*> CSI Store <*> (<*>) initialized,3
E40,SQM: Initializing online with Windows opt-in: False,2
E41,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
E42,SQM: Requesting upload of all unsent reports.,2
E43,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],2
E44,Starting the TrustedInstaller main loop.,2
E45,Starting TrustedInstaller finalization.,1
E46,Starting TrustedInstaller initialization.,1
E47,Startup processing thread terminated normally,2
E48,TrustedInstaller service starts successfully.,2
E49,Unloading offline registry hive: <*>,8
E5,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>",2
E50,Warning: Unrecognized packageExtended attribute.,280
E6,<*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=<*>,1
E7,<*> Performing <*> operations; <*> are not lock/unlock and follow:,1
E8,"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
E9,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> CSI Transaction @<*> destroyed,1
