EventId,EventTemplate,Occurrences
c392bf2d,Interrupting SendWorker,266
9dde456f,******* GOODBYE <*> ********,19
ec01bdd6,"Notification: 3 (n.leader), <*> (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), <*> (n.peerEPoch), LOOKING (my state)",1
c15c4d04,<*> socket connection <*> <*>,48
5f7e8dce,<*> <*> <*> id <*> <*> <*> <*>,1
3cf49fdb,<*> <*> <*> for <*> <*>,47
179975dc,Client attempting to <*> <*> <*> at <*>,3
3370cdfe,FOLLOWING,2
64f4093a,<*> <*> <*> from <*>,2
159f6506,First is 0x0,1
052a1c81,FOLLOWING <*> <*> <*> <*> <*> <*>,2
efa49dce,Connection <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,39
818aea54,<*> <*> to <*> <*> <*> <*> <*>,41
2f792fdd,Send worker leaving thread,262
ec51ce5b,"Connection broken for id 188978561024, my id = <*> error =",289
40ed5647,"Notification: 3 (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), 3 (n.sid), <*> (n.peerEPoch), <*> (my state)",1
194e41ca,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",4
6038b3f0,<*> <*> request <*>,299
4a6a3cbe,<*> <*> of <*> <*>,37
89ae8f16,<*> <*> <*> <*> session <*> <*> <*> <*> <*> <*> <*>,3
b058f136,Server <*> <*> <*> <*> <*> <*>,1
77239bf9,<*> session <*> <*> <*> <*> <*>,40
13b943ea,Notification time out: <*>,37
8484005d,<*> quorum <*>,1
4c6e7ad9,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,1
5bb0b781,<*> <*> of <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
d8b815b6,LOOKING,4
a15439ee,Server <*>,8
84d99a6c,<*> <*> <*> for <*> <*> <*>,314
d01fbfd0,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",3
8898078d,Cannot open channel to <*> at election address <*>,86
1ce454df,Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,1
93109d74,<*> session <*> <*> <*> <*> <*> <*> <*> <*>,50
4497e31d,<*> <*> <*> for <*> <*> <*> <*> <*> <*>,44
8baf68ca,Have <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
f729530c,Server <*> <*>,2
b203390b,My election bind port: <*><*>,1
c7b2318f,Revalidating client: <*>,3
b579a1d0,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,1
8651b9d2,"Notification: 3 (n.leader), <*> (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), <*> (n.peerEPoch), LOOKING (my state)",3
66787885,<*> <*> request <*> <*>,1
de4ecee6,<*> <*> to <*>,10
d65494ad,Unexpected <*>,1
cdc119d1,Sending DIFF,1
8f7cdfb4,<*> <*> <*> for <*> <*> <*> <*> <*> <*> <*>,4
d7af0a3b,Connection broken for id <*> my id = <*> error =,2
855da42b,Unexpected <*> <*> <*> <*> <*> <*> <*>,12
