EventId,EventTemplate,Occurrences
92fc9948,Notification time out: 3200,1
663a6d5a,Received connection request,299
7a2ec7d0,Send worker leaving thread,262
45a3ec5d,Interrupted while waiting for message on queue,314
7a2ec7d0,Connection broken for id <*> my id = <*> error =,262
036ce310,Interrupting SendWorker,290
663a6d5a,Closed socket connection for client  which had sessionid 0x14ed93111f20005,299
036ce310,caught end of stream exception,290
45a3ec5d,Closed socket connection for client  which had sessionid 0x14ed93111f20002,314
7a2ec7d0,Client attempting to renew session 0x24ed93119420016 at ,262
7a2ec7d0,Closed socket connection for client  which had sessionid 0x14ed93111f20010,262
036ce310,Client attempting to establish new session at,290
663a6d5a,Established session 0x14ed93111f20027 with negotiated timeout 10000 for client ,299
036ce310,Established session 0x14ed93111f2002b with negotiated timeout 10000 for client ,290
45a3ec5d,Accepted socket connection from ,314
273e53f2,Closed socket connection for client  which had sessionid 0x14ed93111f20048,266
7a2ec7d0,Unexpected Exception:,262
273e53f2,Established session 0x14ed93111f2005b with negotiated timeout 10000 for client ,266
45a3ec5d,Established session 0x14ed93111f2005f with negotiated timeout 10000 for client ,314
663a6d5a,Established session 0x14ed93111f20079 with negotiated timeout 20000 for client ,299
273e53f2,Closed socket connection for client  which had sessionid 0x14ed93111f2005d,266
7a2ec7d0,Established session 0x14ed93111f2007c with negotiated timeout 10000 for client ,262
45a3ec5d,Established session 0x14ed93111f20082 with negotiated timeout 10000 for client ,314
273e53f2,Closed socket connection for client  which had sessionid 0x14ed93111f20099,266
7a2ec7d0,Closed socket connection for client  which had sessionid 0x14ed93111f2009b,262
45a3ec5d,Connection request from old client ; will be dropped if server is in r-o mode,314
663a6d5a,Closed socket connection for client  which had sessionid 0x14ed93111f200cd,299
45a3ec5d,Closed socket connection for client  which had sessionid 0x14ed93111f200d6,314
45a3ec5d,Established session 0x14ed93111f200df with negotiated timeout 10000 for client ,314
273e53f2,Closed socket connection for client  which had sessionid 0x14ed93111f200f0,266
45a3ec5d,Server environment:user.dir=/,314
036ce310,Cannot open channel to 2 at election address ,290
45a3ec5d,Processed session termination for sessionid: 0x14ede63a5a70002,314
7a2ec7d0,Processed session termination for sessionid: 0x34ede65503f0010,262
036ce310,Processed session termination for sessionid: 0x14ede63a5a70023,290
663a6d5a,Processed session termination for sessionid: 0x34ede65503f002b,299
45a3ec5d,"Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded",314
45a3ec5d,Processed session termination for sessionid: 0x24ede63a01b003b,314
45a3ec5d,"Expiring session 0x34ede65503f0036, timeout of 10000ms exceeded",314
036ce310,Processed session termination for sessionid: 0x34ede65503f0039,290
45a3ec5d,Processed session termination for sessionid: 0x14ede63a5a7003a,314
45a3ec5d,Closed socket connection for client  which had sessionid 0x14ede63a5a70048,314
663a6d5a,Established session 0x14ede63a5a7004b with negotiated timeout 10000 for client ,299
273e53f2,Closed socket connection for client  which had sessionid 0x14ede63a5a70053,266
45a3ec5d,"Expiring session 0x34ede65503f005c, timeout of 10000ms exceeded",314
273e53f2,"Expiring session 0x24ede63a01b0062, timeout of 10000ms exceeded",266
273e53f2,******* GOODBYE ********,266
663a6d5a,LOOKING,299
45a3ec5d,Cannot open channel to 3 at election address ,314
45a3ec5d,Notification time out: 60000,314
7a2ec7d0,Established session 0x14edfaa86f60013 with negotiated timeout 10000 for client ,262
273e53f2,Closed socket connection for client  which had sessionid 0x14edfaa86f60021,266
273e53f2,My election bind port: ,266
45a3ec5d,"Have smaller server identifier, so dropping the connection: (2, 1)",314
273e53f2,FOLLOWING,266
663a6d5a,"New election. My id =  1, proposed zxid=0x700000000",299
663a6d5a,Server environment:host.name=mesos-master-1,299
45a3ec5d,FOLLOWING - LEADER ELECTION TOOK - 49,314
036ce310,Established session 0x14ee3e057ed000c with negotiated timeout 10000 for client ,290
273e53f2,Established session 0x14ee3e057ed002c with negotiated timeout 10000 for client ,266
273e53f2,Closed socket connection for client  which had sessionid 0x14ee3e057ed0027,266
036ce310,"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), <*> (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)",290
7a2ec7d0,FOLLOWING - LEADER ELECTION TOOK - 238,262
663a6d5a,Established session 0x14f05578bd80002 with negotiated timeout 10000 for client ,299
663a6d5a,Closed socket connection for client  which had sessionid 0x14f05578bd8000d,299
7a2ec7d0,Established session 0x14f05578bd80020 with negotiated timeout 10000 for client ,262
273e53f2,autopurge.snapRetainCount set to 3,266
45a3ec5d,Server environment:java.vendor=Oracle Corporation,314
45a3ec5d,Revalidating client: 0x14f05578bd80018,314
273e53f2,Established session 0x14f05578bd80016 with negotiated timeout 10000 for client ,266
7a2ec7d0,Established session 0x14f05578bd80013 with negotiated timeout 10000 for client ,262
273e53f2,Client attempting to renew session 0x14f05578bd8001b at ,266
7a2ec7d0,"Server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 GMT",262
663a6d5a,Server environment:user.name=zookeeper,299
273e53f2,Revalidating client: 0x14f05578bd80013,266
7a2ec7d0,Closed socket connection for client  which had sessionid 0x14f1724a6e80004,262
036ce310,Server environment:os.name=Linux,290
45a3ec5d,Closed socket connection for client (no session established for client),314
45a3ec5d,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,314
273e53f2,"Notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LOOKING (my state)",266
663a6d5a,"Notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state)",299
