EventId,EventTemplate,Occurrences
f3baff5c,Notification time out: 60000,37
663a6d5a,Received connection request,299
7a2ec7d0,Send worker leaving thread,262
45a3ec5d,Interrupted while waiting for message on queue,314
411ba69f,"Connection broken for id 188978561024, my id = error =",290
273e53f2,Interrupting SendWorker,266
64aed492,Closed socket connection for client which had sessionid,48
ecefe136,caught end of stream exception,37
895b8070,Client attempting to renew session at,3
1849cbeb,Client attempting to establish new session at,41
55d4b8ff,Established session with negotiated timeout 10000 for client,45
d6afa32e,Accepted socket connection from,48
63d9783e,Unexpected Exception:,2
01f26d56,Established session with negotiated timeout 20000 for client,5
31bdce23,Connection request from old client ; will be dropped if server is in r-o mode,39
eeb38d12,Server environment:user.dir=/,1
b5b887d6,Cannot open channel to 2 at election address,87
a46e9ff8,Processed session termination for sessionid:,47
ef9d9450,Expiring session timeout of 10000ms exceeded,40
e9225b3a,******* GOODBYE ********,19
467d31ff,Server environment:os.name=Linux,3
9d86801d,Sending DIFF,2
ed297523,"Have smaller server identifier, so dropping the connection: (2, 1)",2
5bd1f197,minSessionTimeout set to -1,4
a3e8a36b,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,2
0b9b358a,FOLLOWING - LEADER ELECTION TOOK - 49,2
b7ac2146,"Notification: 3 (n.leader), (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), (n.peerEPoch), LOOKING (my state)",12
d961f4e8,Server environment:java.vendor=Oracle Corporation,3
3eb0bfe9,Revalidating client:,3
17644875,Server environment:user.name=zookeeper,3
ecf6827a,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,3
3204f3ff,autopurge.purgeInterval set to 0,4
0cf47064,Unexpected exception causing shutdown while sock still open,12
6a9a6831,Snapshotting: 0x50000062e to /var/lib/zookeeper/version-2/snapshot.50000062e,2
d459c04c,Starting quorum peer,1
390a1b37,Snapshotting: 0x300000dcd to /var/lib/zookeeper/version-2/snapshot.300000dcd,1
5e51912e,Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,2
c00b2f72,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,2
a9459b27,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,1
00078e14,LOOKING,2
4c5926a1,Getting a snapshot from leader,2
09fa2d17,"Connection broken for id 188978561024, my id = 3, error =",2
