EventId,EventTemplate,Occurrences
d2e1930e,Notification time out: <*>00,1
9879a9ab,Received connection request <*>,299
7a2ec7d0,Send worker leaving thread,262
45a3ec5d,Interrupted while waiting for message on queue,314
47e3543a,"Connection broken for id 188978561024, my id = 1, error =",94
273e53f2,Interrupting SendWorker,266
60b03da1,Closed socket connection for client <*> which had sessionid 0x<*>,44
ecefe136,caught end of stream exception,37
c2a27ab9,Client attempting to <*> <*> <*> at <*>,3
00a8e7f7,Client attempting to establish new session at <*>,41
7c3230e2,Established session 0x<*> with negotiated timeout 10000 for client <*>,45
abe76bf8,Accepted socket connection from <*>,48
cb01599a,Unexpected <*>,1
fdc6ad99,Established session 0x<*> with negotiated timeout <*> for client <*>,5
1bc7bc65,Connection request from old client <*>; will be dropped if server is in r-o mode,39
7ef3c05b,Server environment:<*>,11
5dffcb42,Cannot open channel to 2 at election address <*>,48
c9c5a894,Processed session termination for sessionid: 0x<*>,47
e34300c3,"Expiring session 0x<*>, timeout of 10000ms exceeded",38
f311a57e,******* GOODBYE <*> ********,19
b50339a1,NONE,19
2e117246,Cannot open channel to 3 at election address <*>,38
f3baff5c,Notification time out: 60000,36
14a05d24,<*> <*> <*> id <*> <*> <*> <*>,1
6e7e51d2,"Notification: <*> (n.leader), 0x<*> (n.zxid), 0x<*> (n.round), <*>ING (n.state), <*> (n.sid), 0x<*> (n.peerEPoch), <*> (my state)",12
10c9deb4,<*> <*> to <*>,10
90ce16d8,Closed socket connection for client <*> <*> <*> <*> <*>,4
0f21038b,<*> <*> of <*> <*>,4
6f5c48e4,"Connection broken for id <*> my id = 1, error =",1
0cf47064,Unexpected exception causing shutdown while sock still open,12
23c131b7,"Connection broken for id 188978561024, my id = 2, error =",96
7f4daf98,"Expiring session 0x<*>, timeout of <*> exceeded",2
21e55d26,<*> <*> request <*>,1
c5bd5b40,<*> <*> <*> from <*>,2
09fa2d17,"Connection broken for id 188978561024, my id = 3, error =",99
ace3fa95,"Connection broken for id <*> my id = 3, error =",1
